ticker,adv_21,adv_dollars,Close
TSLA,75549028.57142857,34331744500.37667,454.42999267578125
NVDA,167108009.52380952,31339434984.154255,187.5399932861328
AVGO,41334157.14285714,14460755128.712246,349.8500061035156
AAPL,42724438.0952381,11667188981.355213,273.0799865722656
MSFT,22901347.61904762,11163949188.935053,487.4800109863281
META,15586480.952380951,10379817180.502754,665.9500122070312
GOOGL,31514000.0,9890669092.346191,313.8500061035156
AMZN,36358476.190476194,8454436424.188524,232.52999877929688
MU,26750123.80952381,7827888860.996791,292.6300048828125
GOOG,20529142.85714286,6457441635.114398,314.54998779296875
ORCL,32408200.0,6391221339.584351,197.2100067138672
PLTR,35031042.85714286,6335013661.998204,180.83999633789062
AMD,27731971.42857143,5971802625.871059,215.33999633789062
NFLX,47531204.76190476,4457476324.549938,93.77999877929688
LLY,3058742.8571428573,3302677600.0,1079.75
JPM,9836457.142857144,3181307101.224191,323.4200134277344
MSTR,20089257.14285714,3126089316.2615094,155.61000061035156
INTC,75035619.04761904,2798828533.228556,37.29999923706055
HOOD,23129895.23809524,2670346334.651257,115.44999694824219
COST,2964723.8095238097,2566413238.095238,865.6500244140625
APP,3550066.6666666665,2462716825.3377275,693.7100219726562
GEV,3530480.9523809524,2328846507.144601,659.6400146484375
CVNA,5398433.333333333,2318896972.434489,429.54998779296875
WMT,20543880.95238095,2299271118.5735064,111.91999816894531
V,6475309.523809524,2289798922.1918015,353.6199951171875
CRM,8426128.57142857,2240676222.858102,265.9200134277344
UNH,6255742.857142857,2077907570.337786,332.1600036621094
BAC,37290133.333333336,2061398525.1464846,55.279998779296875
WBD,66791247.61904762,1932938741.7656126,28.940000534057617
XOM,15912309.523809524,1925230295.2933538,120.98999786376953
GS,2097400.0,1854982472.1557617,884.4199829101562
BA,8342514.285714285,1822839371.4285715,218.5
COIN,7723809.523809524,1788834332.856678,231.60000610351562
LRCX,10233914.285714285,1778449612.0788574,173.77999877929688
CRH,13722995.238095239,1726489997.4013557,125.80999755859375
JNJ,8204019.047619048,1697493611.1868722,206.91000366210938
AMAT,6461566.666666667,1679813494.220988,259.9700012207031
MRVL,19250942.85714286,1670211843.410165,86.76000213623047
C,14156571.42857143,1659291724.182129,117.20999908447266
HD,4689052.380952381,1624053320.7625616,346.3500061035156
UBER,19229280.95238095,1579108604.6243212,82.12000274658203
PG,10908280.952380951,1571337904.4799078,144.0500030517578
ADBE,4411366.666666667,1555050906.7464194,352.510009765625
MRK,14352214.285714285,1522195812.1032715,106.05999755859375
CSCO,19652361.904761903,1521289407.0167177,77.41000366210938
MA,2618995.238095238,1512260185.6227329,577.4199829101562
NOW,9716109.523809524,1498515530.3454444,154.22999572753906
GE,4673390.476190476,1457116456.505185,311.7900085449219
CAT,2509490.476190476,1448954742.8077335,577.3900146484375
NKE,22335942.85714286,1366736312.7548218,61.189998626708984
LIN,3158847.619047619,1353123919.8230562,428.3599853515625
WDC,7618742.857142857,1341355848.828125,176.05999755859375
